"Recall Number","Product Safety Warning Number",Date,"Product Safety Warning Date","Recall Heading","Name of product",Description,"Hazard Description","Consumer Action","Original Product Safety Warning Announcement","Remedy Type",Units,Incidents,Remedy,"Sold At Label","Sold At",Importers,Manufacturers,Distributors,"Manufactured In","Custom Label","Custom Field"
26028,,"October 16, 2025",,"Yamaha Recalls Model Year 2021-2025 Golf Car Vehicles Due to Risk of Serious Injury or Death from Crash Hazard","Model Year 2021-2025 Yamaha Golf Car Vehicles","This recall includes model year 2021-2025 Drive 2 Personal Transportation Vehicles (PTVs) Gas/Electric golf car vehicles. The recalled golf car vehicles were sold in a variety of colors. The following models and serial number ranges are included in this recall. The model name/number is located on the left and right side of the vehicle. Serial numbers are in various locations depending on the vehicle model. If you are unable to locate your serial number, contact Yamaha for assistance.&nbsp;Serial Number RangeModel YearPrefixMinMax2021J2D000062500008802022J0D05137010514498J0E05020010502134J2D00006010000870J5C000101000014002023J0D06001160607700J0E06001110601578J2D00006210000900J5C010010401016952024J0D &nbsp;07001010706200J0E06010490701289J2D02001010200199J5C020010202010002025J0D08001010806600J0E08001010800328J2D02001620200183J5C02001660300281","The recalled golf car vehicles lack stop lights, posing a risk of serious injury or death, due to a crash hazard.",,,Repair,"About 19,300","None reported","Consumers should immediately stop using the recalled golf car vehicles and contact an authorized Yamaha Golf Car dealer to schedule the free installation of two stoplights. For consumers who cannot take their recalled golf car to an authorized dealer, Yamaha will provide transportation or will install the stoplights at the location of the golf cart.&nbsp;","Sold At","Yamaha dealers nationwide from June 2020 through July 2025 for between $8,300 and $12,900.","Yamaha Golf Car Company, of Kennesaw, Georgia",,,Japan,,
26027,,"October 16, 2025",,"Yamaha Recalls Model Year 2017-2024 Golf Car Vehicles Due to Risk of Serious Injury or Death from Crash Hazard","Model Year 2017-2024 Yamaha Golf Car Vehicles","This recall includes model year 2017-2024 DR2A and DR2E Personal Transportation Vehicles (PTVs) with serial numbers that begin with J0D, J0E, and J2D. The recalled golf car vehicles were sold in a variety of colors. The serial number is located on the handlebars on the left side of the rear row of seats of the vehicle.","The recalled golf car vehicles can fail to brake, posing a risk of serious injury or death, due to a crash hazard.",,,Repair,"About 4,300","None reported","Consumers should immediately stop using the recalled golf car vehicles and contact an authorized Yamaha Golf Car dealer to schedule the free installation of new brake shoes and pads. For consumers who cannot take their recalled golf car to an authorized dealer, Yamaha will provide transportation or will install the replacement brake shoes and pads at the location of the golf car.&nbsp;&nbsp;","Sold At","Yamaha dealers nationwide from June 2018 through July 2025 for between $9,500 and $13,000.&nbsp;","Yamaha Golf Car Company, of Kennesaw, Georgia",,,Japan,,
24322,,"July 25, 2024",,"Torquay eTrading Recalls Essential Values Golf Grip Solvent and Golf Grip Kits Due to Risk of Poisoning; Violation of the Federal Hazardous Substances Act","Essential Values Golf Grip Solvent and Golf Grip Kits","This recall involves Essential Values Golf Grip Solvent and Essential Values Grip &amp; Rip re-gripping solution sold as a kit with 14 strips of golf tape. The bottles are labeled on the front with “GOLF GRIP SOLVENT, RE-GRIPPING SOLUTION, UNIVERSAL APPLICATION, GAIN CONSISTENCY IN YOUR GAME, QUICK DRYING, SAFE &amp; NON-TOXIC, KEEP OUT OF REACH OF CHILDREN” and on the back with safety information and instructions. The products were sold in an 8-ounce white bottle with a blue label. In the past, the products were sold as 2-pack, 4-pack, 6-pack and with 28 golf strips bundle.","The recalled cleaning product violates the Federal Hazardous Substances Act because it is deceptively labeled as “Safe and Non-Toxic” and lacks the required cautionary statements for petroleum distillates, posing a risk of poisoning to consumers.",,,Label,"About 26,000 (In addition, about 3,400 were sold in Canada)","None reported.","Consumers should immediately stop using the recalled Golf Grip Solvent and/or Golf Grip Kits, and contact Torquay eTrading for information on how to obtain a free corrected label to put on the bottle. Torquay eTrading, Amazon, eBay and Walmart are contacting all known purchasers directly.","Sold Online At","Amazon.com, eBay.com, Walmart.com and www.essentialvalues.com from December 2017 through May 2024 for about $9, and the model sold with a golf grip tape for about $13.",,,"Torquay eTrading LLC (dba Essential Values), of New York (formerly sold by Mocer LLC and Bright Ventures LLC)","United States",,
