"Recall Number","Product Safety Warning Number",Date,"Product Safety Warning Date","Recall Heading","Name of product",Description,"Hazard Description","Consumer Action","Original Product Safety Warning Announcement","Remedy Type",Units,Incidents,Remedy,"Sold At Label","Sold At",Importers,Manufacturers,Distributors,"Manufactured In","Custom Label","Custom Field"
25187,,"March 20, 2025",,"Aiper Seagull Pro Cordless Robotic Pool Vacuum Cleaners Recalled Due to Burn and Fire Hazards; Distributed by Shenzhen Aiper Intelligent Co.","Aiper Seagull Pro ZT6001 cordless robotic pool cleaners","This recall involves Aiper Seagull Pro cordless robotic pool cleaners&nbsp;with model number ZT6001. The recalled pool vacuum cleaner weighs approximately 24 pounds and measures about 19.5 x&nbsp;18.5&nbsp;x&nbsp;15 inches. The “Aiper” brand name is printed on the top/front of the dark gray pool vacuum cleaners.&nbsp;The model name and the serial number, which begins with S/N “61”, are printed on the label on the bottom side of the pool vacuum.","The recalled pool vacuum cleaner has a large current adapter that can overheat, posing burn and fire hazards.",,,Replace,"About 32,660 (In addition, about 2,530 were sold in Canada)","The firm has received 19 reports of the recalled pool vacuums melting, smoking or catching on fire while charging causing five incidents of property damage. No injuries have been reported.","Consumers should immediately stop using the recalled pool vacuums and contact Aiper to receive a free replacement Aiper Scuba S1 robotic pool cleaner. Aiper will provide a free return label for consumers to send the recalled product back to Aiper. Within&nbsp;15&nbsp;days of receiving the recalled Seagull Pro, Aiper will ship the replacement product. Aiper is contacting all known purchasers directly.&nbsp;","Sold At","Best Buy, Home Depot, Lowe's and Walmart stores nationwide, and online at www.aiper.com, Amazon.com, Bestbuy.com, HomeDepot.com, Lowes.com and Walmart.com from March 2023 through May 2024 for between $700 and $900.",,"Dongguan Yuanhong Intelligent Technology Co. Ltd., of China","Shenzhen Aiper Intelligent Co. Ltd., of China",China,,
24285,,"June 27, 2024",,"Southern Telecom Recalls Brookstone TurboVac Handheld Rechargeable Vacuums Due to Fire Hazard; Sold Exclusively at Belk","Brookstone TurboVac Handheld Rechargeable Vacuums","This recall involves Brookstone TurboVac Handheld Rechargeable Vacuums (Model No. BSBVAC301). The model number is printed&nbsp;on the back of the unit. “Brookstone” is printed on the top front of the vacuum. The vacuums are black and come with a wall-plate for hanging on the wall, and they measure 2.89 x 12 inches in dimension.","The vacuums can short circuit during or after charging the battery, posing a fire hazard.",,,Refund,"About 10,600","The firm has received two reports of serious fires caused by the vacuums, resulting in property damage.","Consumers should immediately stop using the recalled Brookstone TurboVac Handheld Rechargeable Vacuums (Model No. BSBVAC301), and contact Southern Telecom to receive a full refund.","Sold Exclusively At","Belk stores nationwide and online at www.belk.com from September 2022 through February 2024 for about $90.","Southern Telecom Inc., of New York",,,China,,
24107,,"February 01, 2024",,"BISSELL Recalls Multi Reach Hand and Floor Vacuum Cleaners Due to Fire Hazard","BISSELL® brand Multi Reach Hand and Floor Vacuum Cleaners","This recall involves BISSELL Multi Reach Hand and Floor Vacuum Cleaners models 1985, 19851 (also called Multi Auto), 19859, 1985T, 2151, 21512, 21513, 21517, 21518, 21519, 2151A, 2151T, 2151W, 2151V. “Multi Reach” is printed on the hand vacuum portion of the product. The vacuum cleaners were sold in a variety of colors. The model numbers are printed on the product rating label located behind the dirt tank.Note:&nbsp;Recalled lithium-ion batteries should be disposed of in accordance with any local and state ordinances, following the procedures established by your municipal recycling center for damaged/defective/recalled lithium batteries, because these potentially hazardous batteries must be handled differently than other batteries. Do not throw this recalled battery in the trash. Do not deposit this recalled battery in used battery recycling boxes found at various retail and home improvement stores.","The vacuum’s battery pack can overheat and smoke, posing a fire hazard.",,,Replace,"About 142,000 (In addition, about 14,600 were sold in Canada)","BISSELL has received 17 reports of the recalled vacuum cleaners smoking and emitting a burning odor. Six of the reports included the battery pack catching fire, three of which resulted in minor property damage and two resulting in minor burn injuries.","Consumers should immediately stop using the recalled vacuums and contact BISSELL for instructions on how to deplete the charge on the battery and receive a free replacement vacuum. Recalled lithium-ion batteries should be disposed of in accordance with any local and state laws and not in the trash.","Sold At","Lowe’s, Macy’s, Kohl’s, Target, Walmart, Best Buy and other stores nationwide and online at www.bissell.com, www.amazon.com, www.hsn.com and other online sellers from August 2016 through December 2022 for between $110 and $270.","BISSELL Homecare Inc., of Grand Rapids, Michigan",,,China,,
24039,,"December 07, 2023",,"Oreck Discover Upright Vacuums Recalled by TTI Floor Care Due to Electrical Shock Hazard","Oreck Discover Upright Vacuums","This recall involves models UK30500 and UK30500PC of the Oreck Discover Upright Vacuum. Impacted vacuums also have serial numbers that begin with AJ2226, AJ2227, AJ2228, AJ2229, AJ2230, AJ2231, and AJ2232. The model and serial number are printed on a silver data label on the bottom of the vacuum. The vacuum is silver and black with “Oreck” and “Discover” printed on the front.","The vacuum's electric cord plug prong can detach and remain in an electrical outlet when the vacuum is unplugged. This poses an electrical shock hazard to consumers.",,,Repair,"About 6,200","The firm has received 41 reports of a prong detaching from its plug. No injuries have been reported.","Consumers should immediately stop using the recalled vacuums and contact Oreck or their local Oreck dealer for instructions on how to obtain a free repair. &nbsp;To locate the nearest authorized dealer, go to ""Find Your Local Store"" at www.oreck.com.","Sold At","Independent Oreck dealers nationwide and online at www.acmetools.com, www.amazon.com, www.homedepot.com, and www.oreck.com from September 2022 through September 2023 for about $600.","Royal Appliance Mfg. Co., d/b/a TTI Floor Care North America, of Charlotte, North Carolina",,,China,,
