"Recall Number","Product Safety Warning Number",Date,"Product Safety Warning Date","Recall Heading","Name of product",Description,"Hazard Description","Consumer Action","Original Product Safety Warning Announcement","Remedy Type",Units,Incidents,Remedy,"Sold At Label","Sold At",Importers,Manufacturers,Distributors,"Manufactured In","Custom Label","Custom Field"
25294,,"May 22, 2025",,"Primark Recalls DTR Plush Bag Stitch and DTR Plush Bag Angel Due to Choking and Ingestion Hazards","DTR Plush Bag Stitch and DTR Plush Bag Angel","This recall involves the DTR Plush Bag Stitch and DTR Plush Bag Angel. The Stitch plush bags were sold in blue and the Angel bags were sold in purple. The bags measure about 10 inches long and 8 inches wide, with a swing tag care label that hangs off the side of the bag.","The zipper pull on the back of the plush bags can detach, posing a risk of serious injury or death from choking and/or ingestion of the zipper pull.",,,Refund,"About 2,900","None reported","Consumers should immediately take the recalled plush bags away from children, stop using them and return them to a Primark store for a full refund in the form of the original payment.","Sold At","Primark stores located in the northeast and in Florida, Maryland and Illinois from March 2024 through October 2024 for about $6.","Primark US Corp., of Boston, Massachusetts",,,China,,
25245,,"May 01, 2025",,"Dlesot Snap Children’s Hair Clips Recalled Due to Lead Poisoning Hazard; Violation of Federal Ban for Lead in Paint; Sold Exclusively on Amazon by YFLGOTOO","Dlesot Snap Hair Clips","This recall involves Dlesot Snap Hair Clips. The metal hair clips are in a multipack of 120. The clips were sold in a variety of colors and patterns and measure about 1.2 inches. The FNSKU number “X00RCTBRH” and “Made in China” are printed on a white label located on the plastic container box the clips are stored in.","The painted hair clips contain levels of lead that exceed the federal lead paint ban, posing a lead poisoning hazard to children. Lead is toxic if ingested by young children and can cause adverse health issues.",,,Refund,"3,800","None reported","Consumers should immediately take the recalled hair clips away from children, stop using them and contact YFLGOTOO. Consumers will need to provide a picture of disposal, to receive the remedy. Amazon is contacting all known purchasers directly.","Sold At","Online at www.amazon.com from April 2024 through September 2024 for about $10.",,"YuanQuXianXianQiDianZiShangWuYouXianZeRenGongSi, (dba YFLGOTOO), of China",,China,,
24299,,"July 11, 2024",,"Claire’s and Icing Stores Recalls Halloween Witch Hats Due to Burn Hazard and Violation of Federal Flammability Requirement","Halloween Witch Hats","This recall involves 100% polyester Halloween witch hats. The hats are black, and have a blue mesh with sparkling stars scarf above the brim. “CBI Distributing Corporation” is printed on the sewn-in tag inside the hat.","The hats violate federal flammability requirements, posing a risk of burn injuries to consumers.",,,Refund,"About 5,700 (In addition, about 450 were sold in Canada)","None reported.","Consumers should immediately stop using the recalled hats and return the product to any Claire’s or Icing store for a full refund.","Sold At","Claire’s and Icing stores nationwide from July 2023 through December 2023 for about $15.",,,,China,Retailer:,"Claire’s and Icing Stores, of Hoffman Estates, Illinois"
