"Recall Number","Product Safety Warning Number",Date,"Product Safety Warning Date","Recall Heading","Name of product",Description,"Hazard Description","Consumer Action","Original Product Safety Warning Announcement","Remedy Type",Units,Incidents,Remedy,"Sold At Label","Sold At",Importers,Manufacturers,Distributors,"Manufactured In","Custom Label","Custom Field"
26192,,"January 15, 2026",,"Adams Manufacturing Recalls Adirondack Patio Chairs Due to Injury and Fall Hazards","Adams RealComfort and StyleWell Adirondack Patio Chairs","This recall involves Adirondack-style patio chairs sold under two different brands: Adams RealComfort and StyleWell. The resin chairs with slat backs and seats were sold in blue, dark gray, navy blue, taupe, light blue, lime green and teal. “ML837-15” and the manufacture date of August 2025 are molded on the underside of the recalled chairs.&nbsp;The manufacture date is indicated by a dot on a grid, located at the intersection of column ""A"" and row ""25"".","The recalled chairs can crack and collapse, posing injury and fall hazards.",,,Refund,"About 6,100","None reported","Consumers should immediately stop using the recalled chairs and return them to any Lowe’s or Home Depot store for a full refund.","Sold At","Lowe’s and The Home Depot stores nationwide from August 2025 through October 2025 for about $25.",,"Adams Manufacturing Corp., of Portersville, Pennsylvania",,"United States",,
25028,,"October 31, 2024",,"Manhattan Comfort Recalls Floating Wall Theater Entertainment Centers and Panels Due to Injury Hazard","Manhattan Comfort Floating Wall Theater Entertainment Centers and Panels","This recall involves Manhattan Comfort Cabrini 1.8, Cabrini 2.2, City 1.8, City 2.2 and Utopia Wall Mounted Floating Theater Entertainment Centers. The units were sold in white gloss, black gloss, maple cream and off-white colors. The products are floating TV wall‑mounted panels made of MDF. The recalled products have the following model numbers and the following measurements when assembled.Product NameDimensionsModel Number&nbsp;and Color23700- Cabrini 1.871.25 inches in Length, 67.24 inches in Height, 16.73 inches in Depth23751 (Nut Brown)23572 (White Gloss)23753 (Black Gloss)23754 (Maple Cream)23800- Cabrini 2.285.62 inches in Length, 67.24 inches in Height, 16.73 inches in Depth23851 (Nut Brown)23852 (White Gloss)23853 (Black Gloss)23854 (Maple Cream)25100- City 1.872.32 inches in Length, 63.42 inches in Height, 14.92 inches in Depth25151 (Nut Brown)25152 (White Gloss)25153 (Maple Cream)25200- City 2.286.5 inches in Length, 63.42 inches in Height, 14.92 inches in Depth25251 (Nut Brown)25252 (White Gloss)25253 (Maple Cream)27900- Utopia70.47 inches in Length, 67.24 inches in Height, 15.47 inches in Depth27951 (Off White)27952 (Maple Cream)","When attached to drywall without toggle bolts, the panels of the recalled floating wall theater can detach and fall, posing an injury hazard to consumers.When the bottom panel is attached to any wall surface without installing the safety screw that is included with the product, the bottom panel of the recalled floating wall theater can detach and fall, posing an injury hazard to consumers.",,,Repair,"About 46,750","The firm has received 51 reports of the panels detaching, including three minor injuries such as scrapes and bruising.","If the recalled floating wall theater entertainment center and panels have been attached to drywall without toggle bolts, consumers should clear the space underneath and immediately around the entertainment center and stay away from it. Consumers should contact Manhattan Comfort for a free repair. The repair will consist of providing consumers with toggle bolts and instructions on how to remove and reinstall the floating theater.If the bottom panel of the recalled floating wall theater entertainment center has been attached to any wall surface without the included safety screw, consumers should immediately stop using the entertainment center and contact Manhattan Comfort for a free repair. The repair will consist of providing consumers with a replacement safety screw and instructions on how to apply the safety screw.","Sold At","Online at Wayfair, Home Depot, Target, ShopHQ, Walmart, Overstock, Macys, Lowes, ATG Stores, Unbeatable Sales, JET, Bed Bath &amp; Beyond, Dropship Central,123 Stores, OJ Commerce, Hayneedle, Cymax and Houzz from March 2015 through March 2024 for between $380 and $1,465.","Manhattan Comfort Inc., of Dayton, New Jersey",,,Brazil,,
24284,,"June 27, 2024",,"At Home Procurement Recalls Toy Trunk Storage Chests Due to Entrapment and Suffocation Hazards","Tie Dye Fur Toy Trunk Storage Chests","This recall involves Tie Dye Fur Toy Trunk Storage Chests, sold in two sizes. The large chest has dimensions of about 32-½” x 16-½” x 21”. The small chest has dimensions of about 27” x 13-½” x 16-½”. The chest is made of MDF wood board, and is covered in a multi-color tie dye patterned faux fur fabric.","The toy trunk storage chests do not contain a lid support feature or ventilation holes, posing entrapment and suffocation hazards.",,,Refund,"About 990","None reported","Consumers should immediately stop using the recalled toy storage chests, and return them to any At Home store for a full refund.","Sold At","At Home stores nationwide and online at athome.com from September 2023 through February 2024 for between $50 and $60.","At Home Procurement Inc., of Dallas, Texas",,,China,,
24134,,"February 29, 2024",,"Mobile Stands for Large Interactive Flat Panel Displays Recalled Due to Tip-Over and Entrapment Hazards; Imported by SMART Technologies","Electric Height-Adjustable Mobile Stands for Large Interactive Flat Panel Displays","This recall involves SMART Technologies’ Electric Height-Adjustable Mobile Stands for Large Interactive Flat Panel Displays. The recalled stands have model numbers FSE-400 (worldwide) and FSE-410 (US and Canada). They are white in color and have a wheelbase with four wheels. The model number, serial number and SMART logo are located on a label on the back of the mobile stand. Consumers should go online to https://support.smarttech.com/docs/accessories/stands-and-wall-mounts/fse-400/en/important-info/important-info.cshtml to see if their serial number is included in this recall.&nbsp;","The wheelbase welds on the stands can bend or break while the stand is being moved, causing the stands to fall over, posing tip-over and entrapment hazards.",,,Replace,"About 750","The firm has received one report of the wheelbase welds breaking while the stand was being moved. No injuries have been reported.","Consumers should immediately stop using the recalled mobile stands and contact SMART Technologies ULC for an on-site replacement of the wheelbase free of charge. SMART and its authorized resellers are contacting known purchasers directly.&nbsp;","Sold At","SMART authorized distributors and resellers who sold directly to businesses nationwide from May 2023 through December 2023 for about $1,735.&nbsp;","SMART Technologies ULC, of Canada",,,Netherlands,,
