"Recall Number","Product Safety Warning Number",Date,"Product Safety Warning Date","Recall Heading","Name of product",Description,"Hazard Description","Consumer Action","Original Product Safety Warning Announcement","Remedy Type",Units,Incidents,Remedy,"Sold At Label","Sold At",Importers,Manufacturers,Distributors,"Manufactured In","Custom Label","Custom Field"
26103,,"November 20, 2025",,"Spartan Mowers and UTVs Recalls Riding Mowers Due to Crash Hazard","Model Year 2025 Spartan SRT-XD and KGZ-XD riding lawn mowers","This recall involves certain Model Year 2025 Spartan SRT-XD and KGZ-XD zero radius turn (“ZRT”) riding lawn mowers (model numbers RSKXD161994VO, RSKXD172994VO, RSSXD161994VO, RSSXD161999KE, RSSXD172994VO and RSSXD172999KE) within a limited serial range. The mower is gray, black and orange, and has “Spartan” printed on the front of it. The model number and serial number are located on a metal serial&nbsp;plate affixed to the frame of the mower immediately in front of, and at the feet of, the seated operator.","The riding mower’s steering arm dampers can be installed incorrectly, which can result in an unexpected bouncing motion and loss of operator control, posing a crash hazard.",,,Repair,"About 650","The firm has received 15 reports of the mower bouncing unexpectedly while in use, including one report of a minor injury involving scrapes and bruises.","Consumers should immediately stop using the recalled Spartan riding mowers and contact an authorized Spartan dealer to schedule a free inspection and repair of the steering arm dampers at the dealer’s location. To verify whether your Spartan mower is affected by the recall, you will need your Spartan mower’s model and serial number. To confirm whether your mower is within the affected serial range, visit&nbsp;https://joinspartannation.com/recall-information/. To find a Spartan authorized service dealer near you, visit Spartan’s website at:&nbsp;https://joinspartannation.com/dealer-locator.&nbsp;","Sold At","Spartan dealers nationwide from February 2025 through October 2025 for about $16,400 to $19,700.&nbsp;",,"Intimidator LLC d/b/a/&nbsp;Spartan Mowers and UTVs, Batesville, Arkansas",,"United States",,
24256,,"June 06, 2024",,"Kawasaki Motors USA Recalls Engines Used in Bad Boy Mowers, BigDog, Bobcat, Cub Cadet, Hustler, John Deere and Kubota Brand Lawn and Garden Equipment Due to Fire and Burn Hazards","Kawasaki Engines used in Bad Boy Mowers, BigDog, Bobcat, Cub Cadet, Hustler, John Deere, and Kubota brand lawn and garden equipment","This recall involves Kawasaki engines used in lawn and garden equipment sold under the Bad Boy Mowers brand name with mower models Rebel BRB54FX850, Rebel BRB6135KA, Rebel BRB61FX850, Rebel BRB7235KA, Revolt BRV54FX850, Revolt BRV61FX850, Rogue BRG5435KA, Rogue BRG6135KA, Rogue BRG61RD35KA, and Rogue BRG72RD35KA; under the BigDog brand name with mower model Stout MP; under the Bobcat brand name with mower models ZT6000, ZT6100, and ZT7000; under the Cub Cadet brand name with mower model ZTX-6; under the Hustler brand name with mower model FasTrak SDX; under the John Deere brand name with mower model Z760R, utility vehicle models Gator TX 4x2 and Gator TS 4x2, and some service engines for model year 2016-2020 lawn tractor models X350R, X350, X354, X370 X380, X384, X390 and X394; and under the Kubota brand name with mower model Z726XKW.&nbsp;The recalled engines are model year 2021-2023 FJ400D, FS600V, FS651V, FX691V, FX730V, FX801V, FX850V and FXT00V. The recalled engine model and serial numbers are located on the engine fan housing. The following model and serial number ranges are included in this recall.Recalled Kawasaki Engines&nbsp;Engine Model NumberSpecification NumberEngine Serial Number RangeFJ400DES04A full list of serial numbers included in this recall are on the firm’s website at&nbsp;www.kawasakienginesusa.com/product-recall.html.&nbsp;FS04FS600VDS20DS21FS651VHS05JS05FX691VFS18GS18FX730VFS17GS17FX801VCS25DS25GS13HS13KS08LS08MS08FX850VES24FS13FS15FS24GS15GS24FXT00VAS25BS25BS31","The recalled engines can overheat, posing fire and burn hazards.",,,Repair,"About 68,500 (In addition, 900 in Canada)","Kawasaki has received eight reports of fires with the recalled engines. No injuries have been reported.","Consumers should immediately stop using lawn and garden equipment with the recalled engines and contact Kawasaki, John Deere, Cub Cadet, Hustler, BigDog or Kubota, depending on the product owned, or an authorized dealer, to schedule a free repair. Kawasaki and the mower manufacturers are contacting all known purchasers directly.","Sold At","Kawasaki, Bad Boy Mowers, BigDog, Bobcat, Cub Cadet, Hustler, John Deere and Kubota dealers nationwide from April 2021 through December 2023 for between $4,000 and $15,500.",,"Kawasaki Motors Manufacturing Corp. U.S.A., of Maryville, Missouri",,"United States",,
