"Recall Number","Product Safety Warning Number",Date,"Product Safety Warning Date","Recall Heading","Name of product",Description,"Hazard Description","Consumer Action","Original Product Safety Warning Announcement","Remedy Type",Units,Incidents,Remedy,"Sold At Label","Sold At",Importers,Manufacturers,Distributors,"Manufactured In","Custom Label","Custom Field"
25355,,"June 26, 2025",,"DR Power Recalls Lithium-Ion Battery Packs Due to Fire and Burn Hazards","DR Power LiPRO rechargeable lithium-ion battery packs (5.0 Ah)","This recall involves&nbsp;62-volt 5.0 Ah LiPRO rechargeable lithium-ion battery packs for use with DR Power brand battery-powered products, such as lawnmowers, trimmers and snow throwers. The products include stand-alone battery packs with model number 414240, and removeable battery packs included with DR Power outdoor yard equipment items with model numbers 524340, SB11022XEN, T4X3026XEN, T4X3062XENR, CE75021XEN0 and CE77021XEN0. Information containing the model number for the battery pack (“41424”) is located on the battery pack’s label. The LiPRO and DR Power logo are on the front and side panels of the battery pack.Note:&nbsp;Do not throw this recalled lithium-ion battery or device in the trash, the general recycling stream (e.g., street-level or curbside recycling bins), or used battery recycling boxes found at various retail and home improvement stores. Recalled lithium-ion batteries must be disposed of differently than other batteries, because they present a greater risk of fire. Your municipal household hazardous waste (HHW) collection center may accept this recalled lithium-ion battery or device for disposal. Before taking your battery or device to a HHW collection center, contact that office ahead of time and ask whether it accepts recalled lithium-ion batteries. If it does not, contact your municipality for further guidance.","The recalled battery packs can short-circuit and ignite, posing fire and burn hazards to consumers.",,,Refund,"About 13,200","The firm has received two reports of incidents of fire and/or overheating. No injuries have been reported.","Consumers should immediately stop using the recalled battery packs and contact DR Power for a pro-rated refund, based on the battery’s age. Consumers will need to show proof of the battery pack’s destruction by uploading two photographs in accordance with the destruction instructions (provided on the firm’s recall website), and filling out the recall form online at&nbsp;https://www.drpower.com/5AHB-recall. If consumers choose to dispose of the recalled battery pack’s lithium-ion battery, it should be done in accordance with local and state regulations.&nbsp;","Sold At","Home improvement and hardware stores nationwide and online at DRPower.com and CountryHomeProducts.com from April 2018 through July 2024 for between $300 and $700 for outdoor equipment that includes battery packs, and for $250 for battery packs sold individually.&nbsp;","Generac Power Systems Inc., of Waukesha, Wisconsin","Ningbo New Team Import &amp; Export Co. Ltd. (“Lera”), of China",,China,,
25124,,"February 06, 2025",,"Ariens Recalls Snow Throwers Due to Laceration Hazard","Ariens® DELUXE-, PLATINUM- and PROFESSIONAL-series Snow Throwers","This recall involves certain Ariens DELUXE-, PLATINUM- and PROFESSIONAL-series Sno-Thro® models. The recalled snow throwers were sold in a bright orange color and are equipped with either rear wheels or tracks. The model and serial numbers are located on the white square ID tag on the frame. Some recalled snowblowers have already been inspected and repaired.Consumers are urged to visit&nbsp;https://www.ariensco.com/safetyrecall for a list of recalled units.","The recalled snow thrower impeller and auger assembly can continue rotating even after the operator control lever is released, posing a laceration hazard if a user makes contact with the rotating parts inside the housing enclosure at the front of the machine.",,,Repair,"About 6,260 (In addition, about 1,100 were sold in Canada) ","None reported","Consumers should immediately stop using the recalled snow throwers and contact Ariens Company or an authorized dealer for a free repair at their local dealership. The dealer locator is available at&nbsp;here.&nbsp;Ariens Company and its authorized dealers will confirm whether a unit has already been inspected and/or repaired and will perform all necessary repairs on affected units.&nbsp;","Sold At","Authorized Ariens dealers nationwide, Ace Hardware, Blain’s Farm &amp; Fleet, Do It Best, Family Farm &amp; Home, Mills Fleet Farm, Northern Tool and Equipment, Lowe’s and True Value and online at AceHardware.com, Farmandfleet.com, Doitbest.com, familyfarmandhome.com, Lowes.com, fleetfarm.com, northerntool.com and TrueValue.com from August 2024 through October 2024 for between $1,770 and $5,440.",,"Ariens Company, of Brillion, Wisconsin",,"United States",,
