"Recall Number","Product Safety Warning Number",Date,"Product Safety Warning Date","Recall Heading","Name of product",Description,"Hazard Description","Consumer Action","Original Product Safety Warning Announcement","Remedy Type",Units,Incidents,Remedy,"Sold At Label","Sold At",Importers,Manufacturers,Distributors,"Manufactured In","Custom Label","Custom Field"
25186,,"March 20, 2025",,"Kimpex Recalls Snowmobile Ski and Adaptor Kits Due to Crash Hazard and Risk of Serious Injury","Kimpex Ski and Adaptor Kits","This recall involves Kimpex Rush and Kimpex Arrow II Ski Kits and Kimpex Rush and Kimpex Arrow II adaptor kits. The recalled kits are used to replace the skis on snowmobiles and were sold in red, green, yellow, white, black and blue. “Kimpex” is stamped on both sides of the snowmobile’s ski handles.&nbsp;","The skis can detach from the snowmobile, posing a crash hazard and risk of serious injury.",,,Repair,"About 1,980 (In addition, 2,600 were sold in Canada)","The firm has received two reports of the skis falling off snowmobiles. No injuries have been reported.","Consumers should immediately stop using snowmobiles equipped with the recalled Kimpex ski kits and adaptor kits, and contact a Kimpex dealer for a free repair kit.","Sold At","Kimpex USA dealers nationwide and online at Kimpex.com and other websites from April 2022 through January 2025 for between $300 and $500 for the Kimpex Rush and Kimpex Arrow II Ski Kits, and about $23 for the Ski Adaptor Kits.",,"Kimpex Inc., of Drummondville, Canada","Kimpex (U.S.A.) Ltd., of Champlain, New York","Canada (ski kits)
China (adaptor kits)",,
24191,,"April 11, 2024",,"Fischer Sports Recalls Junior Ski Boots Due to Fall Hazard","Fischer RC4 Junior Ski Boots","This recall involves RC4 50, RC4 60, and RC4 65 Junior Ski Boots in sizes 21.5 to 27.5. The RC4 50 and RC4 60 were sold in Rhino Grey and Snow colors. The RC4 65 was sold in yellow. “Fischer” is printed on the lower shell on each boot, and the specific model and name is printed on the outside of the upper cuff, between the two top buckles. The size of the boot is stamped on the sole.&nbsp;","The ski boot cuff can rotate, causing the lock mechanism to malfunction, posing a fall hazard and risk of injury to the consumer.",,,"Refund, Replace, Repair","About 1,460 (In addition, about 114 were sold in Canada)","The firm has received one report of an incident of the ski boot cuff rotated. No injuries have been reported.","Consumers should immediately stop using the recalled RC4 Junior Ski Boots and contact Fischer Sports for instructions on how to receive a refund, a free replacement, or a free repair.","Sold At","Ski gear stores nationwide and online at https://www.fischersports.com/us_en/ and other websites from October 2022 through February 2024 for between $200 and $275.","Fischer Sports US, of Auburn, New Hampshire","Fischer Sports US, of Auburn, New Hampshire",,Romania,,
