"Recall Number","Product Safety Warning Number",Date,"Product Safety Warning Date","Recall Heading","Name of product",Description,"Hazard Description","Consumer Action","Original Product Safety Warning Announcement","Remedy Type",Units,Incidents,Remedy,"Sold At Label","Sold At",Importers,Manufacturers,Distributors,"Manufactured In","Custom Label","Custom Field"
25-188,,"March 20, 2025",,"Bombardier Recreational Products (BRP) Recalls Ski-Doo and Lynx Snowmobiles Due to Crash Hazard","Model Year 2025 Ski-Doo and Lynx snowmobiles equipped with a 600R E-TEC, 850 E-TEC or 850 E-TEC Turbo R engine","This recall involves certain Model Year 2025 Ski-Doo and Lynx snowmobiles equipped with a 600R E-TEC, a 850 E-TEC or a 850 E-TEC Turbo R engine. The brand name “Ski-Doo,” the model name and engine type are printed on the side panels of the vehicles. The vehicle identification number (VIN) is on the decal located on the right-hand side of the tunnel underneath the seat. Dealers can check for VINs included in this recall. The snowmobiles were sold in various color combinations.","The engine control module (ECM) lower mount support could have broken in production and left a loose part inside the engine compartment, allowing it to enter the throttle body area and lead to a stuck throttle. This poses a crash hazard and risk of serious injuries or death.",,,Repair,"About 4,144 (In addition, about 2,205 were sold in Canada)","The firm has received four reports of a stuck throttle. No injuries have been reported.","Consumers should immediately stop using the recalled snowmobiles and contact a BRP dealer to schedule a free appointment. Dealers will inspect the ECM and the throttle body area to look for any ECM lower mount support broken part. If found, dealers will remove the detached part and replace the ECM free of charge. BRP is contacting all known purchasers.","Sold At","Authorized BRP Ski-Doo/Lynx dealers nationwide from February 2024 through November 2024 for between $10,000 and $20,000.","BRP US Inc.  (Bombardier Recreational Products), of Sturtevant, Wisconsin","Bombardier Recreational Products Inc., of Canada",,Canada,,
24-317,,"July 25, 2024",,"Textron Specialized Vehicles Recalls 2024 Arctic Cat Mountain 600 Snowmobiles Due to Crash Hazard","2024 Arctic Cat Mountain 600 Snowmobiles","This recall involves 2024 Arctic Cat Mountain 600 Snowmobiles, sold in various colors. The model name is depicted as an “M” in the shape of a mountain and is printed on the side panels of the snowmobiles. The 10th digit of the VIN is “R”. The VIN number is stamped on the tunnel section or the decal on the top/rear of the tunnel.","The pin on the u-joint of the steering knuckle was not swagged correctly, which can allow the pin to come out of the u-joint and cause the rider to lose steering control, posing a crash hazard.",,,Repair,"About 600","The firm has received six reports of cross pins that have become loose or have fallen out. No injuries have been reported.","Consumers should immediately stop using the 2024 Arctic Cat Mountain 600 Snowmobile, and contact their local authorized Arctic Cat dealer for a free inspection of the steering column u-joint and free repair, if needed. The steering post joint on the Snowmobile will be inspected. If the pin is properly swagged, there is no repair needed. If the steering post joint pin was not properly swagged, the entire steering post assembly will be replaced.","Sold At","Arctic Cat dealers nationwide from September 2023 through June 2024 for between $14,500 and $16,100.",,"Textron Specialized Vehicles, of Augusta, Georgia",,"United States",,
24-228,,"May 09, 2024",,"Textron Specialized Vehicles Recalls Arctic Cat Model Year 2024 Catalyst Snowmobiles Due to Crash Hazard","Arctic Cat Model Year 2024 Catalyst 600 snowmobiles","This recall involves Arctic Cat model year 2024 Catalyst 600 snowmobiles with model names ZR, Riot, and Mountain, sold in various colors. The model names are printed on the side panels of the snowmobiles. The 10th letter of the VIN will be an “R”. The VIN number is stamped on the tunnel section or the decal on the top/rear of the tunnel.","The steering caps, which are used to hold the handlebar in place, can crack and cause the handlebars to become unstable, posing a crash hazard.",,,Repair,"About 2,670 (In addition, about 891 were sold in Canada)","The firm has received 95 reports of incidents from dealers during initial snowmobile setups of steering caps cracking while being torqued. No injuries have been reported.","Consumers should immediately stop using the recalled Arctic Cat 2024 Catalyst 600 snowmobiles, and contact the local authorized Arctic Cat dealer to schedule a free repair of the steering caps.","Sold At","Arctic Cat Dealers nationwide from September 2023 through April 2024 for between $13,800 and $16,100.",,"Textron Specialized Vehicles, of Augusta, Georgia",,"United States",,
24-223,,"May 02, 2024",,"Arctic Cat Recalls Snowmobiles Due to Laceration Hazard","Arctic Cat 8000 and 9000 Series Snowmobiles","This recall involves all model year 2017-2021 Arctic Cat 8000 and 9000 series snowmobiles, and certain model year 2022 Arctic Cat 8000 series snowmobiles with last 8 digits of the VIN between: NT808000 and NT808150 and between NT100101 and NT101060. The recalled snowmobiles were produced in a variety of color combinations. “Arctic Cat” is printed on the sides of the vehicle and on the back snow-flap area.","The recalled snowmobile’s drive clutch can break, allowing fragments to escape the snowmobile shielding, posing a laceration hazard.",,,Repair,"About 16,200","Arctic Cat has received more than 200 reports of clutch failures, including six where clutch fragments hit consumers. Four of those included reports of minor foot and toe injuries.","Consumers should immediately stop using the recalled snowmobiles, and contact Arctic Cat to schedule for a free installation of an additional clutch guard and inspection of the primary clutch. If the primary clutch is cracked, Arctic Cat will replace it free of charge.","Sold At","Arctic Cat dealerships nationwide from September 2016 through January 2024 for between $8,000 and $22,000.",,"Arctic Cat, of Thief River Falls, Minnesota",,"United States",,
24-218,,"May 02, 2024",,"Polaris Recalls Prostar S4 Titan Adventure Snowmobiles Due to Fire Hazard","Model Year 2024 Prostar S4 Titan Adventure 155 ES Snowmobiles","This recall involves certain VINs of Polaris Model Year 2024 Prostar S4 Titan Adventure 155 ES Snowmobiles. The recalled snowmobiles were sold in black and custom color combinations. “POLARIS” is stamped on the front side panel of the vehicles. The VIN and model number are located on the right side of the vehicle’s frame.","The snowmobile can leak fuel at the pump flange assembly, posing a fire hazard and risk of serious injury to the rider or passenger.",,,Repair,"About 240 (In addition, about 290 were sold in Canada)","The firm has received three reports of fuel leaking from the recalled snowmobiles. No injuries have been reported.","Consumers should immediately stop using the recalled snowmobiles, and contact an authorized Polaris dealer to schedule a free repair to replace the pump flange assembly gasket. Polaris has issued a Stop Ride notice to consumers, and is contacting registered owners directly about the remedy.","Sold At","Polaris dealers nationwide from August 2023 through March 2024 for about $16,100.",,"Polaris Industries Inc., of Medina, Minnesota",,"United States",,
24-741,,"March 28, 2024",,"Polaris Recalls Snowmobiles Equipped with PATRIOT BOOST Engines Due to Fire Hazard (Recall Alert)","Model Year 2022-2023 Snowmobiles equipped with PATRIOT BOOST Engines","This recall involves Polaris Model Year 2022-2023 Snowmobiles equipped with PATRIOT BOOST engines, including the Pro RMK Slash, RMK Khaos Slash, INDY VR1, and Switchback Assault. The recalled snowmobiles were sold in black and custom color combinations. “POLARIS” is stamped on the front side panel of the vehicles. The VIN and model number are located on the right side of the vehicle’s frame.","The fuel line between the fuel rails can leak, posing a fire hazard.",,,Repair,"About 7,000 (In addition, about 3,100 were sold in Canada) (Polaris MATRYX snowmobiles have been previously recalled in February 2022, August 2022, November 2022, May 2023, and August 2023)","The firm has received 17 reports of fuel leaks. No injuries have been reported.","Consumers should immediately stop using the recalled snowmobiles, and contact Polaris or an authorized Polaris dealer to schedule a free repair to replace the fuel line. Polaris has notified consumers to stop riding the vehicles, and is notifying all dealers and contacting registered owners directly.","Sold At","Polaris dealers nationwide from October 2021 through August 2023 for between $19,300 and $22,000.",,"Polaris Industries Inc., of Medina, Minnesota",,"United States",,
24-154,,"March 07, 2024",,"Textron Specialized Vehicles Recalls Arctic Cat Catalyst 600 Snowmobiles Due to Injury Hazard","Model Year 2024 Arctic Cat Catalyst 600 Series Snowmobiles","This recall involves all model year 2024 Arctic Cat Catalyst 600 series snowmobiles. The snowmobiles were sold in various colors and model name “ZR,” “Riot” or “Mountain” printed on each side of the engine cowling.","The brake line can come in contact with the brake disc, which can cause damage to the brake line and result in brake loss, posing an injury hazard.",,,Repair,"About 2,700 (In addition, about 900 were sold in Canada)","The firm has received three reports of brake line damage. No injuries have been reported.","Consumers should immediately stop using the recalled snowmobiles, and contact Textron Specialized to arrange for a free inspection and free repair at a dealer or to receive a free repair kit, including shipping. Textron Specialized will mail consumers a repair kit which consists of a cable tie, installation instructions, and a turn card for consumers to repair their vehicle themselves. Textron Specialized Vehicles is contacting all purchasers directly.","Sold At","Authorized Arctic Cat dealers nationwide from November 2022 through January 2024 for between $13,800 and $16,100.",,"Textron Specialized Vehicles, of Augusta, Georgia",,"United States",,
24-140,,"February 29, 2024",,"Bombardier Recreational Products (BRP) Recalls Ski-Doo Snowmobiles Due to Risk of Serious Injury and Crash Hazard","Ski-Doo® MXZ and Renegade Snowmobiles equipped with Pilot X Skis","This recall involves all model year 2024 Ski-Doo MXZ and Renegade snowmobiles models equipped with Pilot X skis. The vehicles were sold in a variety of colors. Ski-Doo and the model name are printed on the side panels of the vehicles. Pilot X is engraved at the back of the ski, on the upper side. The vehicle identification number (VIN) is on the decal located on the right-hand side of tunnel underneath the seat. Dealers can check for VINs included in this recall.","The snowmobile’s left ski can break, posing a risk of serious injury and crash hazard.&nbsp;",,,Repair,"About 8,100 (In addition, about 5,600 were sold in Canada)","The firm has received 27 reports in the United States of the snowmobile’s left ski breaking. There are no reports of injuries in the United States. The firm is aware of one incident in Canada resulting in an injury.","Consumers should immediately stop using the snowmobiles, and contact BRP to schedule a free inspection and repair at the dealership by replacing the left ski free of cost. BRP is contacting all purchasers directly.","Sold At","Ski-Doo authorized dealers nationwide from June 2023 through January 2024 for between $10,000 and $18,000.","BRP US Inc., of Sturtevant, Wisconsin","Bombardier Recreational Products Inc., of Canada",,Canada,,
24-740,,"February 22, 2024",,"Polaris Recalls MATRYX Snowmobiles Equipped with PATRIOT 650 and 850 Engines Due to Injury Hazard (Recall Alert)","Model Year 2022-2024 MATRYX Snowmobiles equipped with PATRIOT 650 and 850 Engines","This recall involves certain Polaris Model Year 2022-2024 MATRYX Voyageur, Indy, Switchback, RMK, and SKS snowmobiles. The recalled snowmobiles were sold in black and custom color combinations and equipped with PATRIOT 650 and 850 engines. The recall also includes primary (drive) clutches sold as service parts with part numbers 1323613 (e-start) and 1323614 (manual start). “POLARIS” is stamped on the front side panel of the vehicles. The VIN and model number are located on the right side of the vehicle’s frame. The following models are being recalled:Recalled Snowmobiles Model Description&nbsp;Model Year 2022 650 MATRYX VOYAGEUR 146&nbsp;Model Year 2022 650 MATRYX INDY&nbsp;Model Year 2022 850 MATRYX INDY&nbsp;Model Year 2022 650 MATRYX SWITCHBACK&nbsp;Model Year 2022 850 MATRYX SWITCHBACK&nbsp;Model Year 2022 650 MATRYX RMK&nbsp;Model Year 2022 850 MATRYX RMK&nbsp;Model Year 2023 650 MATRYX INDY&nbsp;Model Year 2023 850 MATRYX INDY&nbsp;Model Year 2023 650 MATRYX SWITCHBACK&nbsp;Model Year 2023 850 MATRYX SWITCHBACK&nbsp;Model Year 2023 650 MATRYX VOYAGEUR 146&nbsp;Model Year 2023 650 MATRYX SKS 146 &nbsp;Model Year 2023 650 MATRYX RMK&nbsp;Model Year 2023 850 MATRYX RMK&nbsp;Model Year 2024 650 MATRYX RMKModel Year 2024 850 MATRYX RMK&nbsp;","The primary (drive) clutch can fail causing the clutch or its components to separate from the vehicle, posing an injury hazard.&nbsp;",,,Repair,"About 13,400 (In addition, about 5,600 were sold in Canada) (Polaris MATRYX snowmobiles have been previously recalled in May 2023, August 2023, and November 2023.)","Polaris has received 133 reports of clutch failure, including twelve reports where the clutch components separated from the unit and reports of injury.","Consumers should immediately stop using the recalled snowmobiles and contact Polaris or an authorized Polaris dealer to schedule a free repair to replace the primary (drive) clutch. Polaris has notified consumers to stop riding the vehicles and is notifying all dealers and contacting registered owners directly.","Sold At","Polaris dealers nationwide from October 2021 through May 2025 for between $13,000 and $17,900.",,"Polaris Industries Inc., of Medina, Minnesota",,"United States",,
